SCHL_ID,CASEID,STU_WT,age,Q1,exercise,pcgame,tv,fastfood,bmi,a,b,c,d,e,f,g,h,green_have,male
10901,11521,1195.6,13,2,4,1,3,3,20.55,2,3,2,2,4,5,1,3,0,0
10901,11593,1277.38,12,1,5,4,4,4,22.61,4,4,2,5,2,2,5,5,0,1
10901,11823,1195.6,14,1,2,6,7,4,17.43,5,5,5,5,5,5,5,5,0,1
11101,425,712.65,10,2,3,2,4,4,22.45,4,1,5,3,5,1,5,5,0,0
11101,462,712.65,10,2,5,2,2,2,16.56,5,5,5,3,3,2,2,4,0,0
11101,1161,712.65,10,1,4,4,9,6,17.98,3,5,5,5,1,5,5,5,0,1
11101,1555,718.21,11,1,6,4,5,4,19.87,4,4,4,4,5,4,5,5,0,1
11101,2329,718.21,11,2,5,2,4,3,19.44,5,4,5,5,5,4,5,5,0,0
11101,2333,712.65,10,1,4,2,2,2,16.95,5,5,5,5,5,3,4,5,0,1
11101,2335,712.65,10,2,4,2,2,2,16.45,3,3,5,5,5,4,5,5,0,0
11101,2726,712.65,10,2,5,3,2,3,22.57,4,3,5,3,3,2,4,5,0,0
11101,2963,712.65,10,1,4,2,2,4,15.59,5,5,5,4,3,4,5,5,0,1
11101,3212,718.21,11,2,4,2,4,4,20.15,5,5,5,5,5,3,5,5,0,0
11101,3382,712.65,10,2,3,2,3,4,15.98,5,5,4,4,4,5,4,5,0,0
11101,3806,718.21,12,1,6,4,3,6,15.73,5,5,5,5,5,5,5,5,0,1
11101,3879,718.21,11,2,1,3,2,5,15.59,5,4,5,3,3,1,5,4,0,0
11101,4275,712.65,11,2,2,3,5,2,19.65,5,5,5,3,2,-9,1,5,0,0
11101,5120,712.65,10,1,3,3,3,6,-9,4,5,5,4,5,5,5,5,0,1
11101,5265,718.21,11,2,5,2,3,2,17.38,1,2,3,1,1,1,1,1,0,0
11101,5391,712.65,11,1,-9,2,2,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,1
11101,6647,718.21,12,2,3,2,5,5,18.07,2,5,1,3,3,3,3,2,0,0
11101,7029,718.21,11,1,5,2,2,3,14.81,2,5,4,3,5,2,-9,5,0,1
11101,7089,712.65,10,1,5,3,3,2,17.98,3,4,3,4,4,3,4,5,0,1
11101,7159,718.21,11,1,3,3,4,4,16.56,4,5,4,4,5,4,5,5,0,1
11101,7762,718.21,11,1,6,1,2,3,17.13,5,5,5,5,4,4,5,5,0,1
11101,7808,718.21,11,2,3,3,6,2,21.57,2,3,3,4,1,1,5,4,0,0
11101,8773,718.21,11,2,2,3,5,5,-9,1,5,5,5,5,4,5,4,0,0
11101,9394,718.21,11,1,4,2,4,2,22.25,3,1,1,1,1,1,1,1,0,1
11101,9429,712.65,10,1,4,1,3,4,16.27,5,4,5,4,4,5,5,5,0,1
11101,9546,718.21,12,1,6,2,2,1,17.13,4,4,5,3,4,4,5,5,0,1
11101,9833,712.65,10,1,4,2,2,2,16.73,4,5,5,5,5,5,5,5,0,1
11101,10317,718.21,12,1,4,3,6,3,18.34,5,5,5,5,5,5,4,5,0,1
11101,10486,712.65,10,2,2,2,5,4,23.58,2,3,5,4,3,4,2,4,0,0
11101,11234,718.21,11,1,2,2,2,3,16.12,5,5,5,-9,4,-9,-9,5,0,1
11101,11809,712.65,10,2,2,2,-9,2,18.28,5,5,5,5,5,-9,5,5,0,0
11101,11893,718.21,12,1,3,2,4,3,18.09,3,4,5,5,4,4,5,5,0,1
11101,12171,712.65,10,1,3,2,2,2,17.93,5,5,5,5,5,5,5,5,0,1
11101,12245,712.65,10,1,4,3,5,3,16.7,5,5,5,5,5,5,3,5,0,1
11101,12304,712.65,11,1,3,2,4,2,-9,5,5,5,5,5,4,5,5,0,1
11101,12385,712.65,11,1,6,2,3,2,17.06,4,4,4,5,4,5,5,5,0,1
11101,12585,718.21,11,1,4,3,2,1,16.84,4,5,1,5,5,1,5,5,0,1
11201,1441,1634.92,16,1,5,2,7,7,22.82,3,4,2,3,2,3,2,5,0,1
11201,1505,1634.92,17,1,3,2,6,2,27.26,2,3,5,5,5,1,5,1,0,1
11201,1523,1735.08,15,1,6,1,2,2,28.3,5,5,5,5,5,5,5,5,0,1
11201,1649,1634.92,17,1,4,1,1,2,-9,1,1,1,1,2,1,1,1,0,1
11201,1858,1634.92,16,1,1,1,1,1,21.65,5,5,5,5,4,5,4,5,0,1
11201,2377,1634.92,15,1,4,1,2,5,29.43,4,5,5,3,2,4,1,5,0,1
11201,2970,1634.92,15,1,1,2,2,2,32.21,4,5,5,5,5,5,5,5,0,1
11201,3099,1634.92,16,1,4,5,3,3,-9,5,4,5,5,3,5,5,5,0,1
11201,3267,1634.92,17,1,6,2,-9,7,32.49,1,1,1,1,1,1,1,1,0,1
11201,3499,1735.08,17,1,-9,1,-9,6,16.92,5,5,5,5,5,5,5,5,0,1
11201,3514,1735.08,14,1,3,4,4,5,26.57,2,4,2,2,5,5,3,3,0,1
11201,4106,1735.08,16,1,6,4,2,2,26.89,1,2,5,1,3,5,1,5,0,1
11201,4456,1735.08,14,1,5,3,2,2,23.38,2,5,3,2,3,-9,2,5,0,1
11201,5138,1634.92,16,1,4,7,5,7,27.4,1,1,1,1,1,1,1,1,0,1
11201,5302,1634.92,15,1,3,2,5,4,-9,2,4,3,2,1,4,2,5,0,1
11201,5316,1735.08,15,1,3,1,2,5,18.42,3,4,4,4,3,4,3,3,0,1
11201,5821,1634.92,16,1,2,5,5,5,20.76,4,5,5,5,4,3,2,5,0,1
11201,6058,1735.08,15,1,1,4,4,5,36.53,1,1,1,1,1,1,1,1,0,1
11201,6867,1634.92,16,1,2,1,2,5,-9,2,2,2,2,1,5,4,2,0,1
11201,7902,1735.08,15,1,4,2,5,1,21.1,4,5,5,4,4,4,3,4,0,1
11201,8084,1634.92,16,1,1,2,4,5,21.76,5,5,5,5,5,5,5,5,0,1
11201,8371,1634.92,15,1,3,1,7,3,33.56,5,5,5,5,3,5,5,5,0,1
